Week,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,34.41558442,22.03389831,27.64227642,23.46938776,25.76923077,2.586206897,20.11661808,15.63517915,13.74570447
2,0,31.94444444,4,29.41176471,16.39344262,30.76923077,2.325581395,17.05426357,14.82758621,13.38912134
3,1.298701299,26,1.428571429,19.58041958,26.4,29.09090909,6.71641791,24.32432432,22.38267148,17.25663717
4,0,35.04273504,5.970149254,11.27819549,22.3880597,23.72093023,5.223880597,11.55555556,36.60714286,12.80991736
5,0,34.75177305,3.389830508,10.56910569,13.4751773,23.07692308,17.00680272,18.04878049,30.52959502,17.52136752
6,0,21.96969697,8.620689655,16.83168317,14.01869159,29.44785276,17.29323308,15.93406593,34.38596491,16.66666667
7,0,12.06896552,19.17808219,5.555555556,8.035714286,20.73170732,23.71794872,18.42105263,31.2267658,13.48314607
8,0,6.666666667,15.90909091,6.849315068,14.5631068,22.15568862,28.57142857,20.98765432,30.51470588,13.23529412
9,0,3.658536585,22.89156627,9.722222222,13.40206186,13.81578947,33.92070485,14.89361702,19.90291262,13.94230769
10,0,4.504504505,21.23893805,6.25,14.87603306,18.49315068,37.74509804,12.17948718,19.61722488,13.58695652
11,0,4.424778761,21.50537634,2.469135802,24.44444444,9.900990099,22.02380952,8.666666667,21.02272727,12.5748503
12,0,0,19.04761905,6.741573034,11.71171171,10,15.82733813,8.396946565,13.4502924,16.56804734
13,0,5.617977528,7.5,5.479452055,22.22222222,13.13131313,20.83333333,8.928571429,17.53246753,12.94117647
14,0,2.564102564,10.71428571,3.947368421,26.92307692,14.81481481,20.51282051,6.299212598,8.955223881,20.23121387
15,0,4.347826087,7.058823529,6.849315068,18.75,8.910891089,9.345794393,3.260869565,8.219178082,18.71657754
16,0,2.469135802,6.557377049,4.87804878,16.66666667,4.347826087,11.96581197,2.459016393,5.970149254,18.46153846
17,0,1.492537313,2.380952381,5.882352941,17.30769231,10.52631579,16.03773585,5.714285714,4.87804878,9.219858156
18,0,2.173913043,4.651162791,6.557377049,12.61261261,6.481481481,6.024096386,2.222222222,6.766917293,8
19,0,0,5.172413793,1.587301587,7.777777778,2.380952381,1.219512195,1.5625,2.752293578,10
20,0,1.754385965,4.761904762,0,10.14492754,1.538461538,1.298701299,0.952380952,6.140350877,6.849315068
21,0,0,0,0,1.639344262,1.886792453,10,0,1.315789474,4
22,0,0,0,0,2.985074627,3.703703704,3.076923077,2.739726027,0,1.470588235
23,0,0,0,0,6.25,1.818181818,0,2.247191011,0,2
24,0,0,0,0,2.380952381,0,1.754385965,2.857142857,0,1.481481481
25,0,0,0,0,0,0,1.724137931,1.351351351,0,0
26,0,0,0,0,0,0,0,0,0,0
27,3.333333333,0,0,0,0,0,0,0,0,3.125
28,0,0,0,0,1.818181818,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,1.086956522
30,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,4.347826087,2.173913043,0
32,0,0,0,0,0,0,0,1.724137931,0,0
33,0,0,0,0,0,0,0,1.694915254,0,0
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,1.408450704,0,0
37,0,0,0,0,2.040816327,0,0,0,0,2.197802198
38,2.43902439,0,0,0,1.282051282,0,1.265822785,0,0,1.020408163
39,0,0,0,0,0,0,0,0,0,1.041666667
40,0,0,0,1.886792453,0,0,0,0,0,0
41,0,0,0,0,0,0,1.123595506,0,0,0
42,0,0,0,0,0,0,1.587301587,1.041666667,0.775193798,1.290322581
43,0,0,0,0,0,0,0,0,0,3.787878788
44,0,0,0,1.449275362,0,0,0.847457627,0,0.735294118,0
45,0,0,1.923076923,0,2.816901408,0,0.714285714,0,0,0
46,0,0,0,0,1.369863014,0,0.925925926,1.428571429,1.503759398,0
47,0,1.694915254,9.433962264,0,6.18556701,0,0.900900901,2.919708029,4.268292683,0
48,2.272727273,0,5.882352941,5.063291139,7.142857143,0,3.603603604,0.8,9.615384615,0.526315789
49,4,0,14.1025641,2.298850575,4.424778761,1.19047619,10.71428571,3.053435115,12.62626263,3.260869565
50,10.34482759,0,27.17391304,5.333333333,8.333333333,1.123595506,10.12658228,3.472222222,12.61682243,8.080808081
51,29.72972973,1.388888889,34.87179487,11.39240506,15.33333333,4.95049505,14.20118343,2.684563758,14.87603306,4.545454545
52,39.04761905,5.109489051,31.27753304,20,19.90049751,0,13.89728097,9.72972973,24.21875,6.642066421
