Week,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,34.41558442,22.03389831,27.23577236,22.44897959,25.76923077,2.586206897,19.82507289,10.74918567,13.74570447
2,0,30.55555556,4,29.41176471,15.57377049,30.25641026,2.325581395,17.05426357,6.896551724,13.38912134
3,1.298701299,25.33333333,0,19.58041958,26.4,28.63636364,6.71641791,23.78378378,10.46931408,17.25663717
4,0,35.04273504,4.47761194,9.77443609,19.40298507,23.25581395,4.47761194,11.55555556,21.72619048,12.80991736
5,0,34.04255319,0,8.943089431,12.76595745,22.62443439,16.32653061,17.56097561,14.33021807,17.09401709
6,0,21.21212121,1.724137931,16.83168317,13.08411215,26.99386503,15.78947368,15.93406593,20,16.66666667
7,0,10.34482759,5.479452055,3.703703704,7.142857143,18.29268293,23.07692308,16.84210526,19.70260223,11.79775281
8,0,6.666666667,5.681818182,6.849315068,7.766990291,21.55688623,21.42857143,20.37037037,17.64705882,13.23529412
9,0,3.658536585,6.024096386,8.333333333,6.18556701,11.84210526,27.75330396,12.76595745,8.252427184,13.94230769
10,0,0.900900901,2.654867257,3.75,5.785123967,14.38356164,25.98039216,10.8974359,9.56937799,10.86956522
11,0,0.884955752,1.075268817,1.234567901,2.222222222,6.930693069,14.28571429,8,15.90909091,12.5748503
12,0,0,4.761904762,3.370786517,2.702702703,6.363636364,8.633093525,5.34351145,7.01754386,16.56804734
13,0,3.370786517,2.5,2.739726027,5.050505051,2.02020202,8.333333333,3.571428571,11.68831169,11.17647059
14,0,0,3.571428571,1.315789474,3.846153846,1.851851852,6.837606838,3.149606299,4.47761194,15.60693642
15,0,1.449275362,2.352941176,2.739726027,2.678571429,0,2.803738318,0,4.794520548,17.64705882
16,0,0,0,1.219512195,1.851851852,0,0.854700855,0,4.47761194,16.41025641
17,0,0,0,1.470588235,1.923076923,0,1.886792453,0.952380952,3.25203252,8.510638298
18,0,0,0,0,0.900900901,0,0,2.222222222,6.766917293,4.8
19,0,0,1.724137931,0,0,1.19047619,0,0,1.834862385,7.142857143
20,0,0,4.761904762,0,0,0,0,0,6.140350877,4.794520548
21,0,0,0,0,0,0,1.428571429,0,1.315789474,2.4
22,0,0,0,0,2.985074627,0,0,0,0,0.735294118
23,0,0,0,0,2.083333333,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0.740740741
25,0,0,0,0,0,0,0,1.351351351,0,0
26,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,1.086956522
30,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,4.347826087,2.173913043,0
32,0,0,0,0,0,0,0,1.724137931,0,0
33,0,0,0,0,0,0,0,1.694915254,0,0
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,1.408450704,0,0
37,0,0,0,0,2.040816327,0,0,0,0,2.197802198
38,2.43902439,0,0,0,1.282051282,0,1.265822785,0,0,1.020408163
39,0,0,0,0,0,0,0,0,0,0
40,0,0,0,1.886792453,0,0,0,0,0,0
41,0,0,0,0,0,0,1.123595506,0,0,0
42,0,0,0,0,0,0,1.587301587,1.041666667,0.775193798,1.290322581
43,0,0,0,0,0,0,0,0,0,1.515151515
44,0,0,0,1.449275362,0,0,0,0,0.735294118,0
45,0,0,1.923076923,0,2.816901408,0,0.714285714,0,0,0
46,0,0,0,0,1.369863014,0,0.925925926,0,0.751879699,0
47,0,1.694915254,9.433962264,0,6.18556701,0,0.900900901,2.919708029,2.43902439,0
48,2.272727273,0,5.882352941,3.797468354,7.142857143,0,3.603603604,0.8,9.615384615,0.526315789
49,4,0,14.1025641,1.149425287,3.539823009,0,10.71428571,1.526717557,12.62626263,3.260869565
50,10.34482759,0,27.17391304,4,8.333333333,1.123595506,10.12658228,2.083333333,12.14953271,7.575757576
51,29.72972973,0,33.84615385,11.39240506,15.33333333,4.95049505,14.20118343,0.67114094,14.87603306,4.04040404
52,37.14285714,5.109489051,31.27753304,20,18.90547264,0,13.29305136,4.864864865,24.21875,6.642066421
